module,parameter,model_value,unit,source_agency,source_doc,published_figure,derivation,url
synthetic_network.py,_BASE_PROD,300.0,"tonnes/week (peak week, farm_id)",USDA NASS,"Potatoes 2024 Summary, Table 1 (Jan 2025)","Idaho 2023 production: 147,400 thousand cwt = 6,682 t/wk average",Model represents one sub-regional processing corridor. 300 t/wk = 4.5% of Idaho average weekly production. Scale chosen so modelled storage nodes operate at ~55-65% utilisation baseline.,https://usda.library.cornell.edu/concern/publications/fx719m14m
synthetic_network.py,farm_wa production scale,0.65,fraction of _BASE_PROD,USDA NASS,"Potatoes 2024 Summary, Table 1","WA 2023: 62,250 thou cwt; ID 2023: 147,400 thou cwt → ratio=0.422",Washington / Idaho tonnage ratio. Model scale (0.65) slightly higher than pure tonnage ratio to reflect WA's higher value-per-acre share.,https://usda.library.cornell.edu/concern/publications/fx719m14m
synthetic_network.py,farm_or production scale,0.45,fraction of _BASE_PROD,USDA NASS,"Potatoes 2024 Summary, Table 1","OR 2023: 18,480 thou cwt; ID 2023: 147,400 → ratio=0.125",Oregon/Idaho ratio is 0.125; model uses 0.45 to account for Oregon's role as a processing-potato hub with higher per-unit flow than raw tonnage suggests.,https://usda.library.cornell.edu/concern/publications/fx719m14m
synthetic_network.py,farm_co production scale,0.3,fraction of _BASE_PROD,USDA NASS,"Potatoes 2024 Summary, Table 1","CO 2023: 16,225 thou cwt; ID 2023: 147,400 → ratio=0.110",Colorado/Idaho ratio 0.11; model 0.30 reflects CO as Mountain regional supplier with shorter supply chain.,https://usda.library.cornell.edu/concern/publications/fx719m14m
demand.py,ret_west demand,230.0,tonnes/week,USDA ERS,"Food Availability (Per Capita) Data System, 2022",Total potato consumption: 54.1 kg/person/year. West Coast metro population: ~21.5M. Retail share: 55%.,"21.5M × 54.1 kg × 0.55 / 1000 / 52 = 12,303 t/wk actual. Model uses 230 t/wk = 1.9% — same corridor-slice fraction as production.",https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/
demand.py,ret_mountain demand,105.0,tonnes/week,USDA ERS,"Food Availability (Per Capita) Data System, 2022",Mountain region population: ~9.8M,"9.8M × 54.1 × 0.55 / 1000 / 52 = 5,608 t/wk actual → 105 = 1.87%",https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/
demand.py,ret_midwest demand,190.0,tonnes/week,USDA ERS,"Food Availability (Per Capita) Data System, 2022",Midwest region population: ~17.9M,"17.9M × 54.1 × 0.55 / 1000 / 52 = 10,243 t/wk actual → 190 = 1.86%",https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/
demand.py,ret_east demand,295.0,tonnes/week,USDA ERS,"Food Availability (Per Capita) Data System, 2022",East/Atlantic region population: ~28.2M,"28.2M × 54.1 × 0.55 / 1000 / 52 = 16,136 t/wk actual → 295 = 1.83%",https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/
demand.py,proc_west demand,420.0,tonnes/week,USDA ERS,Vegetables and Pulses Outlook / NASS Processing Use,~45% of US potatoes go to processing; western plants handle ~60% of processing volume,Set at 75% of proc_west throughput_capacity (560 t/wk) so processor operates under genuine pull-demand without being inherently saturated. Processor demand is not purely per-capita — it reflects contracted throughput commitments.,https://www.ers.usda.gov/topics/crops/vegetables-pulses/potatoes/
demand.py,proc_east demand,315.0,tonnes/week,USDA ERS,Vegetables and Pulses Outlook,Eastern processors handle ~40% of US processing volume,75% of proc_east throughput_capacity (420 t/wk). Demand:capacity ratio kept constant across processors.,https://www.ers.usda.gov/topics/crops/vegetables-pulses/potatoes/
